label	message
spam	You’ve been chosen to receive an exclusive deal. Click here!
ham	Don’t forget about the meeting tomorrow at 10.
spam	Win a free vacation trip now! Text WIN to 12345.
ham	I’ll send you the notes from class later.
spam	Win a free vacation trip now! Text WIN to 12345.
spam	Limited time offer: Upgrade to premium and save 50%.
ham	Don’t forget about the meeting tomorrow at 10.
spam	Congratulations! You won a free lottery ticket. Claim now!
ham	Don’t forget about the meeting tomorrow at 10.
ham	See you at the gym in the evening.
ham	Hey, are we still meeting for lunch today?
ham	Hey, are we still meeting for lunch today?
spam	Congratulations! You won a free lottery ticket. Claim now!
spam	Win a free vacation trip now! Text WIN to 12345.
spam	Congratulations, you’re a lucky winner of our mega prize draw!
ham	Happy Birthday! Wishing you lots of happiness.
ham	See you at the gym in the evening.
spam	Congratulations! You won a free lottery ticket. Claim now!
spam	Act now! Lowest prices of the season on all items!
spam	URGENT! Your account has been compromised. Verify immediately!
spam	Congratulations, you’re a lucky winner of our mega prize draw!
ham	Good morning! Hope you have a great day ahead.
spam	You have been selected for a $1000 gift card. Click here to redeem.
spam	Congratulations, you’re a lucky winner of our mega prize draw!
spam	Act now! Lowest prices of the season on all items!
spam	Win a free vacation trip now! Text WIN to 12345.
ham	Good morning! Hope you have a great day ahead.
ham	Let’s catch up this weekend, it’s been a while.
ham	I’ll send you the notes from class later.
ham	Good morning! Hope you have a great day ahead.
spam	Free entry in 2 a weekly competition to win FA Cup tickets. Text WIN to 80086 now!
ham	Thanks for your help yesterday, I really appreciate it.
spam	Limited time offer: Upgrade to premium and save 50%.
ham	Thanks for your help yesterday, I really appreciate it.
ham	Happy Birthday! Wishing you lots of happiness.
ham	See you at the gym in the evening.
spam	Act now! Lowest prices of the season on all items!
ham	I’ll send you the notes from class later.
spam	Free entry in 2 a weekly competition to win FA Cup tickets. Text WIN to 80086 now!
ham	Thanks for your help yesterday, I really appreciate it.
spam	Free entry in 2 a weekly competition to win FA Cup tickets. Text WIN to 80086 now!
spam	Exclusive offer: Buy 1 get 1 free. Limited time only!
spam	Exclusive offer: Buy 1 get 1 free. Limited time only!
spam	Win a free vacation trip now! Text WIN to 12345.
ham	Don’t forget about the meeting tomorrow at 10.
ham	Happy Birthday! Wishing you lots of happiness.
ham	Happy Birthday! Wishing you lots of happiness.
spam	URGENT! Your account has been compromised. Verify immediately!
spam	Congratulations, you’re a lucky winner of our mega prize draw!
spam	Act now! Lowest prices of the season on all items!
spam	Win a free vacation trip now! Text WIN to 12345.
spam	Exclusive offer: Buy 1 get 1 free. Limited time only!
ham	Happy Birthday! Wishing you lots of happiness.
spam	Limited time offer: Upgrade to premium and save 50%.
spam	Win a free vacation trip now! Text WIN to 12345.
spam	Free entry in 2 a weekly competition to win FA Cup tickets. Text WIN to 80086 now!
ham	Let’s catch up this weekend, it’s been a while.
spam	You’ve been chosen to receive an exclusive deal. Click here!
ham	Let’s catch up this weekend, it’s been a while.
spam	You have been selected for a $1000 gift card. Click here to redeem.
ham	Can you call me back when you’re free?
spam	Act now! Lowest prices of the season on all items!
spam	Exclusive offer: Buy 1 get 1 free. Limited time only!
ham	I’ll send you the notes from class later.
spam	You’ve been chosen to receive an exclusive deal. Click here!
ham	I’ll be late to the party, stuck in traffic.
spam	You’ve been chosen to receive an exclusive deal. Click here!
spam	Exclusive offer: Buy 1 get 1 free. Limited time only!
ham	I’ll be late to the party, stuck in traffic.
ham	Hey, are we still meeting for lunch today?
spam	Win a free vacation trip now! Text WIN to 12345.
spam	URGENT! Your account has been compromised. Verify immediately!
ham	Happy Birthday! Wishing you lots of happiness.
spam	You’ve been chosen to receive an exclusive deal. Click here!
ham	Good morning! Hope you have a great day ahead.
ham	See you at the gym in the evening.
ham	I’ll be late to the party, stuck in traffic.
spam	Exclusive offer: Buy 1 get 1 free. Limited time only!
ham	Can you call me back when you’re free?
spam	Act now! Lowest prices of the season on all items!
spam	Congratulations, you’re a lucky winner of our mega prize draw!
spam	Congratulations, you’re a lucky winner of our mega prize draw!
ham	I’ll be late to the party, stuck in traffic.
ham	See you at the gym in the evening.
spam	Congratulations! You won a free lottery ticket. Claim now!
ham	Happy Birthday! Wishing you lots of happiness.
spam	You’ve been chosen to receive an exclusive deal. Click here!
ham	I’ll be late to the party, stuck in traffic.
spam	Exclusive offer: Buy 1 get 1 free. Limited time only!
ham	See you at the gym in the evening.
spam	Act now! Lowest prices of the season on all items!
ham	I’ll send you the notes from class later.
spam	You’ve been chosen to receive an exclusive deal. Click here!
spam	Exclusive offer: Buy 1 get 1 free. Limited time only!
ham	Thanks for your help yesterday, I really appreciate it.
spam	Limited time offer: Upgrade to premium and save 50%.
ham	Let’s catch up this weekend, it’s been a while.
spam	You’ve been chosen to receive an exclusive deal. Click here!
ham	Good morning! Hope you have a great day ahead.
spam	URGENT! Your account has been compromised. Verify immediately!
spam	Congratulations! You won a free lottery ticket. Claim now!
ham	Thanks for your help yesterday, I really appreciate it.
ham	See you at the gym in the evening.
spam	Act now! Lowest prices of the season on all items!
spam	Limited time offer: Upgrade to premium and save 50%.
ham	Happy Birthday! Wishing you lots of happiness.
spam	Act now! Lowest prices of the season on all items!
ham	Happy Birthday! Wishing you lots of happiness.
spam	Congratulations! You won a free lottery ticket. Claim now!
spam	Free entry in 2 a weekly competition to win FA Cup tickets. Text WIN to 80086 now!
ham	Happy Birthday! Wishing you lots of happiness.
ham	Thanks for your help yesterday, I really appreciate it.
spam	Congratulations, you’re a lucky winner of our mega prize draw!
ham	Let’s catch up this weekend, it’s been a while.
ham	I’ll be late to the party, stuck in traffic.
spam	You have been selected for a $1000 gift card. Click here to redeem.
spam	Free entry in 2 a weekly competition to win FA Cup tickets. Text WIN to 80086 now!
spam	URGENT! Your account has been compromised. Verify immediately!
spam	Congratulations, you’re a lucky winner of our mega prize draw!
spam	Act now! Lowest prices of the season on all items!
spam	You have been selected for a $1000 gift card. Click here to redeem.
spam	Congratulations, you’re a lucky winner of our mega prize draw!
spam	Free entry in 2 a weekly competition to win FA Cup tickets. Text WIN to 80086 now!
ham	I’ll be late to the party, stuck in traffic.
ham	Thanks for your help yesterday, I really appreciate it.
spam	Act now! Lowest prices of the season on all items!
ham	Let’s catch up this weekend, it’s been a while.
spam	URGENT! Your account has been compromised. Verify immediately!
ham	I’ll be late to the party, stuck in traffic.
ham	See you at the gym in the evening.
ham	Can you call me back when you’re free?
spam	Exclusive offer: Buy 1 get 1 free. Limited time only!
spam	Act now! Lowest prices of the season on all items!
spam	Congratulations, you’re a lucky winner of our mega prize draw!
ham	Hey, are we still meeting for lunch today?
spam	Congratulations! You won a free lottery ticket. Claim now!
ham	Hey, are we still meeting for lunch today?
spam	Congratulations, you’re a lucky winner of our mega prize draw!
spam	Limited time offer: Upgrade to premium and save 50%.
spam	Act now! Lowest prices of the season on all items!
spam	Congratulations, you’re a lucky winner of our mega prize draw!
spam	Congratulations, you’re a lucky winner of our mega prize draw!
ham	I’ll send you the notes from class later.
ham	I’ll be late to the party, stuck in traffic.
spam	Act now! Lowest prices of the season on all items!
spam	Exclusive offer: Buy 1 get 1 free. Limited time only!
ham	Thanks for your help yesterday, I really appreciate it.
spam	You’ve been chosen to receive an exclusive deal. Click here!
ham	Let’s catch up this weekend, it’s been a while.
ham	Don’t forget about the meeting tomorrow at 10.
spam	You’ve been chosen to receive an exclusive deal. Click here!
spam	Act now! Lowest prices of the season on all items!
ham	Hey, are we still meeting for lunch today?
ham	Don’t forget about the meeting tomorrow at 10.
spam	Free entry in 2 a weekly competition to win FA Cup tickets. Text WIN to 80086 now!
ham	Happy Birthday! Wishing you lots of happiness.
spam	URGENT! Your account has been compromised. Verify immediately!
ham	Hey, are we still meeting for lunch today?
spam	Win a free vacation trip now! Text WIN to 12345.
spam	Exclusive offer: Buy 1 get 1 free. Limited time only!
ham	Hey, are we still meeting for lunch today?
ham	Hey, are we still meeting for lunch today?
ham	I’ll send you the notes from class later.
ham	Happy Birthday! Wishing you lots of happiness.
ham	I’ll send you the notes from class later.
spam	URGENT! Your account has been compromised. Verify immediately!
ham	Can you call me back when you’re free?
ham	Hey, are we still meeting for lunch today?
spam	URGENT! Your account has been compromised. Verify immediately!
ham	Let’s catch up this weekend, it’s been a while.
ham	Don’t forget about the meeting tomorrow at 10.
ham	Can you call me back when you’re free?
spam	You have been selected for a $1000 gift card. Click here to redeem.
spam	Limited time offer: Upgrade to premium and save 50%.
spam	You have been selected for a $1000 gift card. Click here to redeem.
ham	See you at the gym in the evening.
ham	Good morning! Hope you have a great day ahead.
ham	Let’s catch up this weekend, it’s been a while.
spam	URGENT! Your account has been compromised. Verify immediately!
spam	You’ve been chosen to receive an exclusive deal. Click here!
ham	I’ll send you the notes from class later.
spam	Act now! Lowest prices of the season on all items!
spam	Congratulations, you’re a lucky winner of our mega prize draw!
ham	I’ll be late to the party, stuck in traffic.
spam	Free entry in 2 a weekly competition to win FA Cup tickets. Text WIN to 80086 now!
ham	Happy Birthday! Wishing you lots of happiness.
ham	Good morning! Hope you have a great day ahead.
ham	Can you call me back when you’re free?
ham	I’ll send you the notes from class later.
spam	You have been selected for a $1000 gift card. Click here to redeem.
spam	You’ve been chosen to receive an exclusive deal. Click here!
ham	Don’t forget about the meeting tomorrow at 10.
spam	Congratulations! You won a free lottery ticket. Claim now!
ham	See you at the gym in the evening.
spam	Limited time offer: Upgrade to premium and save 50%.
spam	URGENT! Your account has been compromised. Verify immediately!
ham	Happy Birthday! Wishing you lots of happiness.
spam	Limited time offer: Upgrade to premium and save 50%.
spam	Win a free vacation trip now! Text WIN to 12345.
spam	You’ve been chosen to receive an exclusive deal. Click here!
spam	You have been selected for a $1000 gift card. Click here to redeem.
spam	Act now! Lowest prices of the season on all items!
ham	Don’t forget about the meeting tomorrow at 10.
ham	Don’t forget about the meeting tomorrow at 10.
spam	You have been selected for a $1000 gift card. Click here to redeem.
spam	Congratulations, you’re a lucky winner of our mega prize draw!
ham	Hey, are we still meeting for lunch today?
spam	Limited time offer: Upgrade to premium and save 50%.
spam	Free entry in 2 a weekly competition to win FA Cup tickets. Text WIN to 80086 now!
spam	Congratulations! You won a free lottery ticket. Claim now!
spam	Act now! Lowest prices of the season on all items!
ham	Let’s catch up this weekend, it’s been a while.
spam	Congratulations! You won a free lottery ticket. Claim now!
ham	Don’t forget about the meeting tomorrow at 10.
spam	Act now! Lowest prices of the season on all items!
spam	Win a free vacation trip now! Text WIN to 12345.
spam	Congratulations, you’re a lucky winner of our mega prize draw!
ham	Thanks for your help yesterday, I really appreciate it.
ham	Happy Birthday! Wishing you lots of happiness.
ham	Let’s catch up this weekend, it’s been a while.
spam	Congratulations! You won a free lottery ticket. Claim now!
